address,square_feet,land_area,year_built,property_class,use_type,market_value
4343 S KILPATRICK CHICAGO,14340.0,19497.0,1957,5-93,Industrial-Storage Warehouses,820000.0
4615 S KNOX CHICAGO,4600.0,25836.0,1957,"5-80, 5-93",Industrial-Outdoor Storage,453000.0
4645 S KNOX CHICAGO,17575.0,25637.0,1957,5-93,Industrial-Storage Warehouses,1005000.0
4227 W 43RD CHICAGO,14300.0,49049.0,1957,5-93,Industrial-Storage Warehouses,818000.0
5151 S MILLARD CHICAGO,19284.0,41179.0,1957,5-93,Industrial-Light Manufacturing,735000.0
7600 S TROY CHICAGO,12738.0,66427.0,1957,"5-80, 5-93",Industrial-Waste/Recycling,895000.0
7740 S CLAREMONT CHICAGO,12000.0,6301.0,1957,5-93,Industrial-Storage Warehouses,457000.0
7710 S CLAREMONT CHICAGO,4187.0,10383.0,1957,5-93,Industrial-Light Manufacturing,174000.0
7820 S OAKLEY CHICAGO,4400.0,6930.0,1957,5-93,Industrial-Light Manufacturing,183000.0
8815 S GENOA CHICAGO,1944.0,15549.0,1957,5-93,Industrial-Storage Warehouses,174000.0
9160 S GREEN CHICAGO,80658.0,178838.0,1957,5-93,Industrial-Storage Warehouses,2792000.0
409 W 109TH CHICAGO,14500.0,57855.0,1957,"5-93, 5-80",Industrial-Light Manufacturing,552000.0
826 W 118TH CHICAGO,23297.0,48837.0,1956,"5-80, 5-80, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,742000.0
4740 S CALIFORNIA CHICAGO,39700.0,87730.0,1956,5-93,Industrial-Light Manufacturing,2063000.0
